選手名_2023,年俸_2023,年俸_円_2023,選手名_2024_2025,年俸_2024,年俸_円_2024,年俸_2025,年俸_円_2025
柳田　悠岐,6億2000万円,620000000,柳田　悠岐,5億7000万円,570000000.0,4億7000万円,470000000.0
坂本　勇人,6億円,600000000,坂本　勇人,6億円,600000000.0,5億円,500000000.0
村上　宗隆,6億円,600000000,村上　宗隆,6億円,600000000.0,6億円,600000000.0
浅村　栄斗,5億円,500000000,浅村　栄斗,5億円,500000000.0,5億円,500000000.0
山田　哲人,5億円,500000000,山田　哲人,5億円,500000000.0,5億円,500000000.0
丸　佳浩,4億5000万円,450000000,丸　佳浩,2億8000万円,280000000.0,3億2000万円,320000000.0
Ｄ．ビシエド,3億5000万円,350000000,Ｄ．ビシエド,3億5000万円,350000000.0,,
Ｆ．ガルビス,3億5000万円,350000000,,,,,
青木　宣親,3億3000万円,330000000,青木　宣親,1億4000万円,140000000.0,,
中田　翔,3億円,300000000,中田　翔,3億円,300000000.0,3億円,300000000.0
源田　壮亮,3億円,300000000,源田　壮亮,3億円,300000000.0,3億円,300000000.0
今宮　健太,3億円,300000000,今宮　健太,3億円,300000000.0,3億円,300000000.0
菊池　涼介,3億円,300000000,菊池　涼介,2億5000万円,250000000.0,2億5000万円,250000000.0
岡本　和真,2億7000万円,270000000,岡本　和真,4億2000万円,420000000.0,5億4000万円,540000000.0
山川　穂高,2億7000万円,270000000,山川　穂高,2億7000万円,270000000.0,4億5000万円,450000000.0
Ｄ．サンタナ,2億6500万円,265000000,Ｄ．サンタナ,3億6500万円,365000000.0,4億7700万円,477000000.0
近藤　健介,2億5500万円,255000000,近藤　健介,5億5000万円,550000000.0,5億5000万円,550000000.0
大島　洋平,2億5000万円,250000000,大島　洋平,2億5000万円,250000000.0,1億円,100000000.0
Ｎ．ソト,2億5000万円,250000000,Ｎ．ソト,1億5000万円,150000000.0,3億円,300000000.0
甲斐　拓也,2億1000万円,210000000,甲斐　拓也,2億1000万円,210000000.0,2億1000万円,210000000.0
森　友哉,2億1000万円,210000000,森　友哉,4億円,400000000.0,4億円,400000000.0
中村　奨吾,2億円,200000000,中村　奨吾,2億円,200000000.0,2億円,200000000.0
Ｇ．ポランコ,2億円,200000000,Ｇ．ポランコ,4億円,400000000.0,4億円,400000000.0
鈴木　大地,2億円,200000000,鈴木　大地,1億4000万円,140000000.0,1600万円,16000000.0
宮﨑　敏郎,2億円,200000000,宮﨑　敏郎,2億円,200000000.0,2億円,200000000.0
Ｔ．オースティン,2億円,200000000,Ｔ．オースティン,2億円,200000000.0,4億9500万円,495000000.0
中村　剛也,2億円,200000000,中村　剛也,1億5000万円,150000000.0,1億円,100000000.0
梶谷　隆幸,2億円,200000000,梶谷　隆幸,2億円,200000000.0,,
Ｒ．マクブルーム,1億9000万円,190000000,,,,,
Ｗ．アストゥディーヨ,1億8000万円,180000000,,,,,
Ｍ．ゴンザレス,1億8000万円,180000000,Ｍ．ゴンザレス,1億8000万円,180000000.0,,
Ｓ．ノイジー,1億7940万円,179400000,Ｓ．ノイジー,1億6500万円,165000000.0,,
栗山　巧,1億7900万円,179000000,栗山　巧,1億800万円,108000000.0,8000万円,80000000.0
近本　光司,1億7000万円,170000000,近本　光司,3億2000万円,320000000.0,3億7000万円,370000000.0
佐野　恵太,1億7000万円,170000000,佐野　恵太,1億5500万円,155000000.0,1億7000万円,170000000.0
中村　悠平,1億7000万円,170000000,中村　悠平,1億7000万円,170000000.0,1億5000万円,150000000.0
Ａ．アキーノ,1億6800万円,168000000,,,,,
梅野　隆太郎,1億6000万円,160000000,梅野　隆太郎,1億6000万円,160000000.0,1億6000万円,160000000.0
外崎　修汰,1億6000万円,160000000,外崎　修汰,1億6000万円,160000000.0,1億6000万円,160000000.0
Ｊ．オスナ,1億5800万円,158000000,Ｊ．オスナ,2億9800万円,298000000.0,4億3700万円,437000000.0
中村　晃,1億5000万円,150000000,中村　晃,1億5000万円,150000000.0,1億円,100000000.0
秋山　翔吾,1億5000万円,150000000,秋山　翔吾,1億5000万円,150000000.0,1億8000万円,180000000.0
會澤　翼,1億4000万円,140000000,會澤　翼,8760万円,87600000.0,8000万円,80000000.0
大山　悠輔,1億3000万円,130000000,大山　悠輔,2億8000万円,280000000.0,3億4000万円,340000000.0
Ａ．アルカンタラ,1億3000万円,130000000,,,,,
Ｌ．ブリンソン,1億3000万円,130000000,,,,,
金子　侑司,1億2600万円,126000000,金子　侑司,7000万円,70000000.0,,
福田　秀平,1億2000万円,120000000,,,,,
牧　秀悟,1億2000万円,120000000,牧　秀悟,2億3000万円,230000000.0,2億5000万円,250000000.0
島内　宏明,1億2000万円,120000000,島内　宏明,1億2000万円,120000000.0,4500万円,45000000.0
桑原　将志,1億2000万円,120000000,桑原　将志,1億2000万円,120000000.0,1億2000万円,120000000.0
西川　龍馬,1億2000万円,120000000,西川　龍馬,1億2000万円,120000000.0,3億円,300000000.0
伊藤　光,1億1000万円,110000000,伊藤　光,6500万円,65000000.0,5200万円,52000000.0
荻野　貴司,1億円,100000000,荻野　貴司,9000万円,90000000.0,7000万円,70000000.0
炭谷　銀仁朗,1億円,100000000,炭谷　銀仁朗,3500万円,35000000.0,4000万円,40000000.0
小林　誠司,1億円,100000000,小林　誠司,3000万円,30000000.0,4000万円,40000000.0
Ｍ．フランコ,1億円,100000000,Ｍ．フランコ,9000万円,90000000.0,1億2000万円,120000000.0
Ｃ．ギッテンス,1億円,100000000,,,,,
Ａ．ウォーカー,1億円,100000000,Ａ．ウォーカー,1億円,100000000.0,,
坂倉　将吾,9500万円,95000000,坂倉　将吾,1億2500万円,125000000.0,1億5000万円,150000000.0
Ｄ．マキノン,9000万円,90000000,,,,,
Ｆ．シュウィンデル,9000万円,90000000,,,,,
松本　剛,8600万円,86000000,松本　剛,1億1000万円,110000000.0,1億1000万円,110000000.0
塩見　泰隆,8600万円,86000000,塩見　泰隆,7100万円,71000000.0,5700万円,57000000.0
佐藤　輝明,8500万円,85000000,佐藤　輝明,1億5000万円,150000000.0,1億5000万円,150000000.0
Ａ．マルティネス,8000万円,80000000,Ａ．マルティネス,1億2000万円,120000000.0,2億5000万円,250000000.0
糸原　健斗,8000万円,80000000,糸原　健斗,8000万円,80000000.0,7000万円,70000000.0
大城　卓三,8000万円,80000000,大城　卓三,1億3000万円,130000000.0,1億6000万円,160000000.0
大和（前田　大和）,8000万円,80000000,大和（前田　大和）,7000万円,70000000.0,,
Ｍ．ペイトン,8000万円,80000000,,,,,
牧原　大成,8000万円,80000000,牧原　大成,1億円,100000000.0,1億円,100000000.0
宗　佑磨,7800万円,78000000,宗　佑磨,8300万円,83000000.0,7300万円,73000000.0
Ｍ．デビッドソン,7700万円,77000000,,,,,
福田　周平,7500万円,75000000,福田　周平,6000万円,60000000.0,5000万円,50000000.0
茂木　栄五郎,7400万円,74000000,茂木　栄五郎,6000万円,60000000.0,7000万円,70000000.0
Ｔ－岡田（岡田　貴弘）,7200万円,72000000,Ｔ－岡田（岡田　貴弘）,3600万円,36000000.0,,
杉本　裕太郎,7200万円,72000000,杉本　裕太郎,7500万円,75000000.0,6700万円,67000000.0
田村　龍弘,7000万円,70000000,田村　龍弘,7000万円,70000000.0,7000万円,70000000.0
