選手名,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
甲斐　拓也,福岡ソフトバンク,119,392,344,34,88,25,0,5,128,43,1,1,14,2,31,1,89,6,0.256,0.372,0.317
小林　誠司,読　売,42,123,105,4,16,3,0,1,22,8,1,0,7,0,9,2,18,1,0.152,0.21,0.233
大城　卓三,読　売,96,321,283,19,72,17,0,3,98,27,0,0,0,4,31,3,62,3,0.254,0.346,0.33
岸田　行倫,読　売,88,298,269,22,65,10,1,4,89,26,2,2,9,2,14,4,43,11,0.242,0.331,0.287
郡　拓也,読　売,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
山瀬　慎之助,読　売,2,6,6,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0.333,0.333,0.333
喜多　隆介,読　売,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
湯浅　大,読　売,19,7,6,2,1,0,0,0,1,2,0,1,1,0,0,0,2,0,0.167,0.167,0.167
増田　大輝,読　売,40,38,30,4,6,1,1,0,9,4,4,1,7,0,1,0,6,1,0.2,0.3,0.226
吉川　尚輝,読　売,143,602,536,65,154,25,4,5,202,46,12,5,13,6,41,6,61,8,0.287,0.377,0.341
門脇　誠,読　売,129,405,350,29,85,9,1,0,96,21,9,3,16,0,37,2,63,3,0.243,0.274,0.319
坂本　勇人,読　売,109,426,395,34,94,14,0,7,129,34,1,0,0,3,27,1,72,14,0.238,0.327,0.286
岡本　和真,読　売,143,611,535,70,150,37,0,27,268,83,1,1,0,5,66,5,97,5,0.28,0.501,0.362
泉口　友汰,読　売,66,185,164,10,33,6,1,1,44,9,1,0,3,0,18,0,24,2,0.201,0.268,0.28
中山　礼都,読　売,32,48,44,2,14,3,0,0,17,2,0,0,0,0,4,0,12,1,0.318,0.386,0.375
リチャード,福岡ソフトバンク,15,33,31,0,7,3,0,0,10,1,0,0,0,0,1,1,12,3,0.226,0.323,0.273
秋広　優人,読　売,26,48,46,5,12,1,0,0,13,1,1,0,0,0,2,0,12,1,0.261,0.283,0.292
増田　陸,読　売,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.167
長野　久義,読　売,54,98,89,5,23,3,1,0,28,14,1,1,0,0,9,0,25,2,0.258,0.315,0.327
丸　佳浩,読　売,138,595,525,51,146,18,1,14,208,45,8,4,0,2,65,3,93,9,0.278,0.396,0.36
萩尾　匡也,読　売,56,163,149,13,32,8,2,2,50,12,0,2,1,1,11,1,41,4,0.215,0.336,0.272
岡田　悠希,読　売,4,9,7,0,1,0,0,0,1,0,0,0,0,0,2,0,2,0,0.143,0.143,0.333
ヘルナンデス,読　売,56,240,221,34,65,11,0,8,100,30,0,1,0,1,15,3,58,8,0.294,0.452,0.346
重信　慎之介,読　売,33,18,15,6,1,0,0,0,1,0,6,1,0,0,3,0,6,0,0.067,0.067,0.222
佐々木　俊輔,読　売,59,156,143,13,33,5,1,0,40,6,2,1,3,1,9,0,44,3,0.231,0.28,0.275
オコエ　瑠偉,読　売,68,157,138,16,36,9,0,3,54,13,4,0,8,1,9,1,35,3,0.261,0.391,0.309
浅野　翔吾,読　売,40,158,146,18,35,11,2,3,59,18,1,0,2,1,7,2,27,2,0.24,0.404,0.282
若林　楽人,埼玉西武,19,66,62,3,8,0,0,3,17,5,2,1,2,0,1,1,12,4,0.129,0.274,0.156
若林　楽人,読　売,27,44,42,3,9,1,1,1,15,7,1,0,0,0,1,1,11,0,0.214,0.357,0.25
嶺井　博希,福岡ソフトバンク,4,6,6,2,3,0,0,1,6,3,0,0,0,0,0,0,1,0,0.5,1.0,0.5
谷川原　健太,福岡ソフトバンク,4,10,9,3,4,1,1,0,7,2,0,0,0,0,0,1,2,0,0.444,0.778,0.5
石塚　綜一郎,福岡ソフトバンク,15,40,31,2,6,0,0,1,9,6,0,0,0,1,3,4,10,0,0.194,0.29,0.333
海野　隆司,福岡ソフトバンク,51,120,104,10,18,5,0,2,29,10,0,0,9,0,6,1,30,3,0.173,0.279,0.225
川瀬　晃,福岡ソフトバンク,105,156,138,17,36,2,2,0,42,7,2,2,10,1,7,0,24,0,0.261,0.304,0.295
ダウンズ,福岡ソフトバンク,7,26,22,3,6,0,0,1,9,2,1,0,0,0,2,2,1,0,0.273,0.409,0.385
山川　穂高,福岡ソフトバンク,143,611,550,66,136,26,1,34,266,99,0,0,0,3,48,10,158,17,0.247,0.484,0.318
今宮　健太,福岡ソフトバンク,133,538,462,60,121,25,4,6,172,39,1,0,25,2,46,3,87,9,0.262,0.372,0.331
牧原　大成,福岡ソフトバンク,78,259,240,26,68,7,4,2,89,13,6,4,9,1,8,1,41,2,0.283,0.371,0.308
周東　佑京,福岡ソフトバンク,123,477,428,63,115,15,5,2,146,26,41,13,10,3,26,10,90,4,0.269,0.341,0.323
栗原　陵矢,福岡ソフトバンク,140,598,527,74,144,40,2,20,248,87,2,1,10,7,49,5,99,10,0.273,0.471,0.337
廣瀨　隆太,福岡ソフトバンク,35,111,103,9,24,4,0,2,34,9,0,1,0,1,5,2,17,6,0.233,0.33,0.279
井上　朋也,福岡ソフトバンク,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,0.0,0.0
リチャード,福岡ソフトバンク,15,33,31,0,7,3,0,0,10,1,0,0,0,0,1,1,12,3,0.226,0.323,0.273
秋広　優人,読　売,26,48,46,5,12,1,0,0,13,1,1,0,0,0,2,0,12,1,0.261,0.283,0.292
野村　勇,福岡ソフトバンク,38,50,43,9,5,0,0,0,5,1,4,0,1,0,6,0,18,1,0.116,0.116,0.224
近藤　健介,福岡ソフトバンク,129,535,436,66,137,29,2,19,227,72,11,1,0,1,92,6,76,10,0.314,0.521,0.439
中村　晃,福岡ソフトバンク,101,203,181,15,40,4,0,0,44,16,0,1,1,1,19,1,24,6,0.221,0.243,0.297
柳田　悠岐,福岡ソフトバンク,52,225,185,31,53,7,1,4,74,35,3,0,0,2,35,3,36,2,0.286,0.4,0.404
佐藤　直樹,福岡ソフトバンク,44,93,84,7,16,3,1,0,21,6,3,3,1,1,4,3,30,0,0.19,0.25,0.25
正木　智也,福岡ソフトバンク,80,282,263,21,71,21,0,7,113,29,1,0,1,2,11,5,65,4,0.27,0.43,0.31
柳町　達,福岡ソフトバンク,73,237,216,26,58,11,5,4,91,40,1,0,4,2,14,1,65,4,0.269,0.421,0.313
笹川　吉康,福岡ソフトバンク,7,21,21,3,6,0,0,1,9,2,2,1,0,0,0,0,6,0,0.286,0.429,0.286
緒方　理貢,福岡ソフトバンク,86,62,52,19,9,1,1,0,12,4,4,1,3,0,7,0,10,2,0.173,0.231,0.271
川村　友斗,福岡ソフトバンク,88,140,123,27,33,8,2,1,48,14,3,1,3,1,10,3,43,1,0.268,0.39,0.336
梅野　隆太郎,阪　神,95,318,268,18,56,9,0,0,65,15,0,1,17,2,30,1,84,6,0.209,0.243,0.289
坂本　誠志郎,阪　神,64,218,193,11,43,3,0,0,46,12,0,0,10,1,12,2,38,6,0.223,0.238,0.274
榮枝　裕貴,阪　神,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
長坂　拳弥,阪　神,5,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0.0,0.0,0.0
木浪　聖也,阪　神,116,409,359,27,77,13,1,1,95,35,1,0,13,1,32,4,64,17,0.214,0.265,0.285
大山　悠輔,阪　神,130,545,483,63,125,18,0,14,185,68,0,4,0,3,52,7,88,19,0.259,0.383,0.338
熊谷　敬宥,阪　神,32,9,8,2,1,0,0,0,1,0,1,1,1,0,0,0,2,0,0.125,0.125,0.125
佐藤　輝明,阪　神,120,496,451,58,121,21,4,16,198,70,0,2,0,4,36,5,133,11,0.268,0.439,0.327
渡邉　諒,阪　神,67,137,123,7,32,5,0,2,43,11,0,1,0,2,11,1,34,2,0.26,0.35,0.321
糸原　健斗,阪　神,89,128,111,8,24,2,0,0,26,9,0,0,0,1,15,1,20,3,0.216,0.234,0.313
小幡　竜平,阪　神,50,135,116,12,28,3,1,1,36,9,2,3,7,0,12,0,27,1,0.241,0.31,0.313
中野　拓夢,阪　神,143,634,547,63,127,20,2,1,154,32,6,7,35,1,46,5,97,10,0.232,0.282,0.297
植田　海,阪　神,59,11,11,11,3,0,1,0,5,3,4,1,0,0,0,0,3,0,0.273,0.455,0.273
原口　文仁,阪　神,52,65,58,5,14,1,0,2,21,9,1,0,0,0,5,2,14,0,0.241,0.362,0.323
森下　翔太,阪　神,129,526,458,64,126,24,2,16,202,73,0,2,0,3,53,12,78,13,0.275,0.441,0.363
近本　光司,阪　神,141,639,562,71,160,16,5,6,204,45,19,9,0,4,68,5,93,7,0.285,0.363,0.365
井上　広大,阪　神,23,55,52,5,11,2,0,3,22,8,1,1,0,0,3,0,20,0,0.212,0.423,0.255
島田　海吏,阪　神,62,94,80,8,22,2,0,0,24,2,5,3,3,0,10,1,16,2,0.275,0.3,0.363
楠本　泰史,横浜DeNA,18,31,29,0,5,1,0,0,6,5,0,0,0,0,1,1,5,0,0.172,0.207,0.226
前川　右京,阪　神,116,362,324,25,87,16,0,4,115,42,0,0,0,1,27,10,50,7,0.269,0.355,0.343
小野寺　暖,阪　神,25,29,27,3,4,0,1,0,6,0,0,0,1,0,0,1,10,0,0.148,0.222,0.179
豊田　寛,阪　神,11,19,19,1,4,1,0,0,5,0,0,0,0,0,0,0,5,2,0.211,0.263,0.211
野口　恭佑,阪　神,26,61,53,6,10,0,0,0,10,5,0,0,0,1,5,2,12,1,0.189,0.189,0.279
マルティネス,北海道日本ハム,126,459,393,42,92,20,4,13,159,57,2,1,0,4,51,11,101,12,0.234,0.405,0.336
清水　優心,北海道日本ハム,12,15,14,1,2,1,0,0,3,1,0,0,1,0,0,0,5,0,0.143,0.214,0.143
伏見　寅威,北海道日本ハム,62,184,165,9,40,5,0,0,45,21,0,0,12,1,4,2,26,3,0.242,0.273,0.267
古川　裕大,北海道日本ハム,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0.0,0.0,0.333
郡司　裕也,北海道日本ハム,127,495,441,52,113,14,0,12,163,49,2,2,6,4,40,4,71,6,0.256,0.37,0.321
進藤　勇也,北海道日本ハム,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
吉田　賢吾,福岡ソフトバンク,10,27,26,2,5,0,0,0,5,2,0,0,0,1,0,0,4,0,0.192,0.192,0.185
田宮　裕涼,北海道日本ハム,109,349,307,28,85,12,2,3,110,30,10,4,11,3,21,7,71,10,0.277,0.358,0.334
梅林　優貴,北海道日本ハム,3,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0.0,0.0,0.0
上川畑　大悟,北海道日本ハム,106,305,258,25,64,4,2,1,75,16,5,0,18,1,22,6,40,4,0.248,0.291,0.321
野村　佑希,北海道日本ハム,56,152,143,8,30,7,1,2,45,9,2,0,0,1,7,1,28,4,0.21,0.315,0.25
中島　卓也,北海道日本ハム,46,41,39,12,8,1,0,0,9,2,4,4,0,0,2,0,9,0,0.205,0.231,0.244
清宮　幸太郎,北海道日本ハム,89,329,290,43,87,18,1,15,152,51,1,3,0,3,31,5,62,5,0.3,0.524,0.374
石井　一成,北海道日本ハム,68,219,197,20,46,11,1,4,71,18,2,3,9,0,12,1,42,2,0.234,0.36,0.281
水野　達稀,北海道日本ハム,105,359,332,30,73,8,8,7,118,37,9,5,12,1,13,1,81,2,0.22,0.355,0.251
細川　凌平,北海道日本ハム,51,64,54,4,12,1,0,0,13,5,3,1,4,2,4,0,11,0,0.222,0.241,0.267
奈良間　大己,北海道日本ハム,90,150,139,10,25,4,0,0,29,7,2,0,8,1,2,0,39,2,0.18,0.209,0.19
松本　剛,北海道日本ハム,127,486,437,46,103,18,1,1,126,19,20,8,17,4,24,4,52,17,0.236,0.288,0.279
淺間　大基,北海道日本ハム,49,126,109,16,30,4,1,1,39,11,4,2,4,2,9,2,35,0,0.275,0.358,0.336
宮崎　一樹,北海道日本ハム,4,6,5,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0.2,0.2,0.333
五十幡　亮汰,北海道日本ハム,94,127,112,38,18,2,1,0,22,3,18,9,8,0,6,1,34,1,0.161,0.196,0.21
水谷　瞬,北海道日本ハム,97,353,327,41,94,18,3,9,145,39,4,1,1,1,21,3,79,3,0.287,0.443,0.335
今川　優馬,北海道日本ハム,6,19,19,1,4,1,0,0,5,0,0,2,0,0,0,0,5,0,0.211,0.263,0.211
万波　中正,北海道日本ハム,136,556,508,60,128,34,0,18,216,60,2,3,1,3,39,5,120,13,0.252,0.425,0.31
レイエス,北海道日本ハム,103,368,335,39,97,15,1,25,189,65,0,0,0,2,31,0,90,9,0.29,0.564,0.348
木下　拓哉,中　日,74,203,180,11,41,4,0,3,54,9,0,0,14,0,9,0,26,9,0.228,0.3,0.265
宇佐見　真吾,中　日,61,164,152,7,46,8,0,3,63,17,0,0,1,2,9,0,38,5,0.303,0.414,0.337
味谷　大誠,中　日,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
加藤　匠馬,中　日,86,133,123,5,21,3,2,0,28,5,0,0,8,0,2,0,41,4,0.171,0.228,0.184
山浅　龍之介,中　日,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
石橋　康太,中　日,11,29,24,1,5,2,0,0,7,3,0,0,3,1,1,0,7,1,0.208,0.292,0.231
辻本　倫太郎,中　日,13,20,18,0,3,0,0,0,3,0,0,0,1,0,1,0,0,1,0.167,0.167,0.211
田中　幹也,中　日,112,343,313,26,70,8,2,2,88,23,5,1,10,0,20,0,46,3,0.224,0.281,0.27
高橋　周平,中　日,60,190,173,8,45,6,0,2,57,16,0,1,3,0,13,1,40,7,0.26,0.329,0.316
カリステ,中　日,114,393,372,30,97,11,1,7,131,36,2,2,3,3,15,0,67,9,0.261,0.352,0.287
村松　開人,中　日,109,418,371,35,102,14,3,1,125,25,3,4,14,3,26,4,81,7,0.275,0.337,0.327
中田　翔,中　日,62,225,212,15,46,10,0,4,68,21,0,0,0,3,9,1,34,9,0.217,0.321,0.249
福永　裕基,中　日,111,402,363,40,111,22,2,6,155,32,9,3,4,2,27,6,82,4,0.306,0.427,0.362
石川　昂弥,中　日,82,275,254,17,69,16,0,4,97,25,0,0,0,2,17,2,37,9,0.272,0.382,0.32
土田　龍空,中　日,17,45,44,1,7,1,0,0,8,2,1,0,0,0,1,0,11,0,0.159,0.182,0.178
山本　泰寛,中　日,79,179,156,14,39,3,0,1,45,9,1,1,6,2,15,0,33,1,0.25,0.288,0.312
板山　祐太郎,中　日,65,194,178,11,42,4,3,3,61,13,1,1,1,1,14,0,36,9,0.236,0.343,0.29
ロドリゲス,中　日,23,59,54,3,7,0,0,0,7,1,0,0,3,0,2,0,16,0,0.13,0.13,0.161
樋口　正修,中　日,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0
尾田　剛樹,中　日,65,12,11,8,0,0,0,0,0,0,4,5,1,0,0,0,4,0,0.0,0.0,0.0
岡林　勇希,中　日,123,460,425,34,109,10,3,0,125,12,10,7,6,0,29,0,62,2,0.256,0.294,0.304
大島　洋平,中　日,75,125,116,7,23,6,0,0,29,5,1,1,0,0,9,0,11,0,0.198,0.25,0.256
ブライト　健太,中　日,35,51,46,3,11,0,0,2,17,3,0,0,0,0,5,0,16,0,0.239,0.37,0.314
川越　誠司,中　日,27,75,71,4,19,3,0,2,28,7,0,0,0,0,4,0,17,2,0.268,0.394,0.307
上林　誠知,中　日,46,102,94,6,18,1,1,1,24,3,0,0,1,0,7,0,22,0,0.191,0.255,0.248
駿太,中　日,29,35,32,1,4,0,0,0,4,1,0,0,1,0,2,0,9,0,0.125,0.125,0.176
細川　成也,中　日,143,600,534,59,156,30,0,23,255,67,0,1,0,1,60,5,159,13,0.292,0.478,0.368
鵜飼　航丞,中　日,12,27,27,1,5,2,0,0,7,3,0,0,0,0,0,0,10,1,0.185,0.259,0.185
松川　虎生,千葉ロッテ,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0.25,0.25,0.25
田村　龍弘,千葉ロッテ,51,160,140,11,28,10,0,0,38,14,0,0,4,2,14,0,27,2,0.2,0.271,0.269
佐藤　都志也,千葉ロッテ,116,452,410,41,114,20,0,5,149,45,4,1,4,6,29,3,51,10,0.278,0.363,0.326
柿沼　友哉,千葉ロッテ,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
寺地　隆成,千葉ロッテ,2,7,7,0,1,1,0,0,2,0,0,0,0,0,0,0,4,0,0.143,0.286,0.143
池田　来翔,千葉ロッテ,21,46,45,2,5,2,0,0,7,1,0,0,0,0,1,0,7,2,0.111,0.156,0.13
友杉　篤輝,千葉ロッテ,125,393,355,33,73,10,0,0,83,15,11,2,19,2,17,0,52,5,0.206,0.234,0.241
安田　尚憲,千葉ロッテ,55,174,158,14,36,13,0,0,49,15,0,0,0,3,13,0,48,4,0.228,0.31,0.282
藤岡　裕大,千葉ロッテ,90,369,312,31,80,13,1,5,110,29,0,0,7,2,46,2,58,4,0.256,0.353,0.354
中村　奨吾,千葉ロッテ,120,433,376,36,88,18,0,4,118,27,2,2,11,0,41,5,75,15,0.234,0.314,0.318
上田　希由翔,千葉ロッテ,21,64,58,3,15,3,0,0,18,7,0,0,1,1,2,2,9,0,0.259,0.31,0.302
大下　誠一郎,千葉ロッテ,22,22,20,1,3,1,0,0,4,1,0,0,1,0,1,0,4,0,0.15,0.2,0.19
石垣　雅海,中　日,9,10,10,0,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0.2,0.3,0.2
小川　龍成,千葉ロッテ,119,313,261,33,63,2,0,0,65,21,10,1,20,2,30,0,52,2,0.241,0.249,0.317
茶谷　健太,千葉ロッテ,88,76,72,5,12,1,0,0,13,4,0,0,2,1,1,0,18,1,0.167,0.181,0.176
ソト,千葉ロッテ,132,542,491,43,132,22,2,21,221,88,0,0,0,4,42,5,136,19,0.269,0.45,0.33
荻野　貴司,千葉ロッテ,80,213,197,25,55,6,1,1,66,15,0,0,4,0,10,2,15,6,0.279,0.335,0.321
藤原　恭大,千葉ロッテ,74,264,231,30,67,8,4,2,89,21,4,1,3,2,25,3,39,2,0.29,0.385,0.364
角中　勝也,千葉ロッテ,84,217,189,21,53,12,2,3,78,20,0,0,1,2,24,1,37,4,0.28,0.413,0.361
ポランコ,千葉ロッテ,118,468,416,47,101,21,0,23,191,60,0,0,0,4,46,2,86,5,0.243,0.459,0.318
石川　慎吾,千葉ロッテ,33,93,90,2,19,3,0,1,25,5,0,0,0,0,3,0,19,3,0.211,0.278,0.237
岡　大海,千葉ロッテ,103,420,362,52,104,28,2,7,157,33,11,3,4,3,44,7,64,9,0.287,0.434,0.373
髙部　瑛斗,千葉ロッテ,76,287,260,37,78,12,3,1,99,23,10,4,5,2,19,1,43,3,0.3,0.381,0.348
愛斗,千葉ロッテ,52,76,69,4,13,2,0,0,15,3,0,0,2,0,4,1,14,3,0.188,0.217,0.243
山口　航輝,千葉ロッテ,51,181,170,10,34,8,0,2,48,13,1,0,0,0,10,1,30,6,0.2,0.282,0.249
山本　大斗,千葉ロッテ,5,19,18,0,2,1,0,0,3,0,0,0,0,0,1,0,4,0,0.111,0.167,0.158
和田　康士朗,千葉ロッテ,88,71,60,12,9,0,0,0,9,8,11,0,3,1,6,1,13,0,0.15,0.15,0.235
會澤　翼,広島東洋,57,159,150,9,28,6,0,0,34,13,0,0,0,0,7,2,43,6,0.187,0.227,0.233
坂倉　将吾,広島東洋,121,462,427,43,119,19,1,12,176,44,3,2,1,2,31,1,80,7,0.279,0.412,0.328
石原　貴規,広島東洋,56,139,122,11,28,6,0,3,43,11,0,0,5,2,5,5,22,1,0.23,0.352,0.284
磯村　嘉孝,広島東洋,10,10,9,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0.0,0.0,0.1
羽月　隆太郎,広島東洋,53,25,22,12,5,1,0,0,6,1,12,7,2,0,1,0,8,0,0.227,0.273,0.261
上本　崇司,広島東洋,62,146,129,16,27,2,0,0,29,7,0,2,9,0,4,4,24,3,0.209,0.225,0.255
田中　広輔,広島東洋,66,108,96,5,15,2,0,2,23,7,1,1,0,2,9,1,26,2,0.156,0.24,0.231
矢野　雅哉,広島東洋,137,495,430,45,112,13,6,2,143,38,13,10,20,4,38,3,109,8,0.26,0.333,0.322
小園　海斗,広島東洋,143,588,540,52,151,15,3,2,178,61,13,9,7,5,30,6,53,6,0.28,0.33,0.322
堂林　翔太,広島東洋,87,273,244,15,56,13,0,1,72,17,0,2,9,3,16,1,67,4,0.23,0.295,0.277
菊池　涼介,広島東洋,136,497,453,27,109,19,0,9,155,38,2,2,17,1,25,1,69,9,0.241,0.342,0.281
林　晃汰,広島東洋,27,64,60,4,11,4,0,0,15,2,0,0,0,0,4,0,20,3,0.183,0.25,0.234
韮澤　雄也,広島東洋,11,15,15,1,2,0,0,0,2,0,0,0,0,0,0,0,2,1,0.133,0.133,0.133
仲田　侑仁,広島東洋,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.25,0.25,0.25
内田　湘大,広島東洋,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333
山足　達也,オリックス,43,18,15,5,2,0,0,0,2,0,2,0,0,0,3,0,3,0,0.133,0.133,0.278
佐藤　啓介,広島東洋,7,17,15,1,2,0,0,0,2,0,0,0,0,0,2,0,3,0,0.133,0.133,0.235
二俣　翔一,広島東洋,80,122,107,7,21,4,0,1,28,7,1,0,6,0,8,1,26,3,0.196,0.262,0.259
秋山　翔吾,広島東洋,138,587,547,60,158,20,1,4,192,30,6,5,2,4,29,5,96,6,0.289,0.351,0.328
野間　峻祥,広島東洋,113,443,391,40,106,14,5,1,133,28,8,5,3,1,43,5,52,9,0.271,0.34,0.35
宇草　孔基,広島東洋,41,75,66,10,16,2,0,3,27,8,3,1,3,0,4,2,22,1,0.242,0.409,0.306
中村　健人,広島東洋,12,24,24,1,2,0,0,1,5,2,0,0,0,0,0,0,8,0,0.083,0.208,0.083
末包　昇大,広島東洋,79,304,286,22,68,14,0,9,109,37,1,2,0,0,12,6,85,6,0.238,0.381,0.283
松山　竜平,広島東洋,65,78,73,2,13,4,0,1,20,10,0,0,0,1,4,0,12,5,0.178,0.274,0.218
久保　修,広島東洋,19,18,17,1,1,0,0,0,1,0,0,0,0,0,0,1,8,0,0.059,0.059,0.111
大盛　穂,広島東洋,74,35,31,7,7,2,0,0,9,4,2,1,2,0,2,0,10,0,0.226,0.29,0.273
田村　俊介,広島東洋,37,106,101,4,20,3,2,0,27,5,1,1,1,0,3,1,27,2,0.198,0.267,0.229
中村　奨成,広島東洋,30,70,69,4,10,2,0,0,12,1,0,1,0,0,1,0,13,1,0.145,0.174,0.157
中村　貴浩,広島東洋,11,25,24,4,5,0,0,0,5,3,0,0,1,0,0,0,5,1,0.208,0.208,0.208
太田　光,東北楽天,94,269,230,23,45,10,3,2,67,23,2,0,23,1,13,2,58,1,0.196,0.291,0.244
田中　貴也,東北楽天,17,12,10,0,1,0,0,0,1,0,0,0,0,0,2,0,4,1,0.1,0.1,0.25
安田　悠馬,東北楽天,34,128,122,12,32,6,0,2,44,9,0,0,0,0,6,0,38,1,0.262,0.361,0.297
